Name,Sport,Borough,Contact URL,Source URL,Instagram Handle,Outreach Channel,Sent Date,Response,Status
London Fields Lido,Swimming,Hackney,https://www.better.org.uk/leisure-centre/london/hackney/london-fields-lido,https://www.better.org.uk/leisure-centre/london/hackney/london-fields-lido,,,,,
Hackney Aquatics Club,Swimming,Hackney,https://londonaquaticscentre.org/clubs-and-partners/swimming-lac/,https://londonaquaticscentre.org/clubs-and-partners/swimming-lac/,,,,,
Hackney Anaconda Swimming Club,Swimming,Hackney,https://www.hackneyanaconda.org/,https://www.hackneyanaconda.org/,,,,,
Poplar Baths Leisure Centre,Swimming,Tower Hamlets,https://www.better.org.uk/leisure-centre/london/tower-hamlets/poplar-baths,https://www.better.org.uk/leisure-centre/london/tower-hamlets/poplar-baths,,,,,
Marshall Street Leisure Centre,Swimming,Westminster,https://www.everyoneactive.com/centre/marshall-street-leisure-centre/,https://www.everyoneactive.com/centre/marshall-street-leisure-centre/,,,,,
Parliament Hill Tennis Courts,Tennis,Camden,https://www.better.org.uk/,https://www.better.org.uk/,,,,,
Britannia Leisure Centre Tennis,Tennis,Hackney,https://www.better.org.uk/leisure-centre/london/hackney/britannia-leisure-centre,https://www.better.org.uk/leisure-centre/london/hackney/britannia-leisure-centre,,,,,
Hackney Tennis,Tennis,Hackney,https://www.hackneytennis.co.uk/,https://www.hackneytennis.co.uk/,,,,,
Islington Tennis Centre,Tennis,Islington,https://www.better.org.uk/leisure-centre/london/islington/islington-tennis-centre,https://www.better.org.uk/leisure-centre/london/islington/islington-tennis-centre,,,,,
Holland Park Lawn Tennis Club,Tennis,Kensington and Chelsea,https://www.hpltc.co.uk/,https://www.hpltc.co.uk/,,,,,
Park Sports Hyde Park Tennis,Tennis,Westminster,https://parksports.co.uk/venues/hyde-park,https://parksports.co.uk/venues/hyde-park,,,,,
Regent's Park Tennis Centre,Tennis,Westminster,https://parksports.co.uk/,https://parksports.co.uk/,,,,,
triyoga Camden,Yoga,Camden,https://triyoga.co.uk/,https://triyoga.co.uk/,,,,,
Fierce Grace Primrose Hill,Yoga,Camden,https://www.fiercegrace.com/,https://www.fiercegrace.com/,,,,,
Sāmya Studios,Yoga,Islington,https://samyastudios.com/,https://samyastudios.com/,,,,,
The Yoga Studio London,Yoga,Islington,https://www.theyogastudiolondon.com/,https://www.theyogastudiolondon.com/,,,,,
The Life Centre,Yoga,Kensington and Chelsea,https://www.thelifecentre.com/,https://www.thelifecentre.com/,,,,,
MoreYoga,Yoga,Westminster,https://www.moreyoga.co.uk/,https://www.moreyoga.co.uk/,,,,,
